Aug 13 16:54:22.703 [DEBUG] request is{3 bvc.bilivideo.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.749 [DEBUG] request is{3 upos-sz-staticcos-cmask.bilivideo.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.785 [DEBUG] request is{3 api.bilibili.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.785 [DEBUG] request is{3 i0.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.804 [DEBUG] request is{3 i2.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.805 [DEBUG] request is{3 i1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.806 [DEBUG] request is{3 broadcast.chat.bilibili.com:7826} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.828 [DEBUG] request is{3 upos-sz-staticcos-cmask.bilivideo.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.903 [DEBUG] request is{3 hw-v2-web-player-tracker.biliapi.net:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:22.941 [DEBUG] request is{3 upos-sz-staticcos-cmask.bilivideo.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:23.427 [DEBUG] request is{3 s1.hdslb.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:54:24.203 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:07.531 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:07.531 [DEBUG] request is{3 www.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:07.974 [DEBUG] request is{3 t11.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:07.976 [DEBUG] request is{3 t9.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:07.977 [DEBUG] request is{3 ss0.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:07.980 [DEBUG] request is{3 t15.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:07.982 [DEBUG] request is{3 t13.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:07.999 [DEBUG] request is{3 gimg3.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:08.010 [DEBUG] request is{3 search-operate.cdn.bcebos.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:08.037 [DEBUG] request is{3 baikebcs.bdimg.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:08.059 [DEBUG] request is{3 sp1.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:08.060 [DEBUG] request is{3 sp1.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:08.076 [DEBUG] request is{3 bkssl.bdimg.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
Aug 13 16:58:08.157 [DEBUG] request is{3 hpd.baidu.com:443} (E:/code/self/demo-2/16-go-socks5/socks5/socks5.go:231 go-socks5-demo/socks5.readRequest)
